"Position","Promotion","Discount Offer","Restaurant Name","Rating","Cuisines","Cost for Two","Location","Distance","Restaurant URL","Image URL","Zomato Gold Image"
1,"Promoted","Flat 20% OFF","Korma Sutra - Restaurant & Cafe",4.6,"Indian, Asian, Turkish, Italian, Continental, BBQ","AED 180 for two","Al Barsha, Dubai","2.3 km","https://www.zomato.com/dubai/korma-sutra-restaurant-cafe-al-barsha/info","https://b.zmtcdn.com/data/pictures/6/21040866/ee90713984b9d0a6f0829d914ee72917_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
2,"Promoted","Flat 20% OFF","Orientale",4.6,"Chinese, Sushi, Thai, Asian","AED 145 for two","Al Barsha, Dubai","2.1 km","https://www.zomato.com/dubai/orientale-al-barsha/info","https://b.zmtcdn.com/data/pictures/0/19728900/78b5e1d11cf13299ef3e04c05a141c74_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
3,"Promoted","Flat 20% OFF","Socialicious",4.7,"Cafe, Asian, Thai, Coffee, Beverages","AED 125 for two","Jumeirah Village, Dubai","7 km","https://www.zomato.com/socialicious/info","https://b.zmtcdn.com/data/pictures/8/18598678/f9fee0a697801b266974d0ee6f96ea49_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
4,"Promoted","Flat 10% OFF","Nine Squares Restaurant",4.6,"Hot Pot, Chinese, Asian","AED 150 for two","Umm Suqeim, Dubai","4.8 km","https://www.zomato.com/dubai/nine-squares-restaurant-umm-suqeim/info","https://b.zmtcdn.com/data/pictures/4/19483264/e2b4046f03efe2801804a47a8c87a501_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
5,"Promoted","Flat 10% OFF","Wafi Gourmet",3.5,"Lebanese, Arabian, Middle Eastern, Kebab","AED 295 for two","Sunset Mall, Jumeirah 3, Dubai","6.3 km","https://www.zomato.com/dubai/wafi-gourmet-jumeirah-3/info","https://b.zmtcdn.com/data/pictures/3/20107813/e07f9f6cb75d1e69aef667c40f5e052f_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
6,"Promoted","Flat 10% OFF","N89 Restaurant",4.4,"Indian, Chinese, International, Middle Eastern, Beverages","AED 100 for two","Cluster V, Jumeirah Lake Towers, Dubai","9.5 km","https://www.zomato.com/dubai/n89-restaurant-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/0/20986350/3c186c94f8b09f01ce0e69e44926da5a_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
7,,,"Baraak by BVK",4.5,"Indian, Middle Eastern, North Indian, Grill, Kebab, South Indian, BBQ, Shawarma","AED 80 for two","Al Karama, Dubai","15.6 km","https://www.zomato.com/dubai/baraak-by-bvk-al-karama/info","https://b.zmtcdn.com/data/pictures/9/21120749/e5f1021cb60f1043122bf908214902b5_featured_v2.jpg",
8,"Promoted","Flat 10% OFF","Beresta",4.2,"Indian, Biryani, North Indian, Mughlai, Kebab","AED 100 for two","Business Bay, Dubai","7.9 km","https://www.zomato.com/dubai/beresta-1-business-bay/info","https://b.zmtcdn.com/data/pictures/7/20100567/214554b10afd5c7bdd0a49c4bcaf5f57_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
9,,"Flat 15% OFF","Delhi Highway",4.2,"North Indian, Indian, Desserts, Beverages","AED 140 for two","Al Karama, Dubai","15.3 km","https://www.zomato.com/dubai/delhi-highway-al-karama/info","https://b.zmtcdn.com/data/pictures/7/20615057/4c415a73c824a079c9859b357bde30ef_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
10,"Promoted","Flat 10% OFF","Iyer's Premium Veg Restaurant","New","South Indian, North Indian, Indo-Chinese","AED 50 for two","Cluster I, Jumeirah Lake Towers, Dubai","10.8 km","https://www.zomato.com/dubai/iyers-premium-veg-restaurant-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/4/21485274/ad8b65a41b7eefe6d7b392cfb1e5aa84_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
11,,"Flat 10% OFF","Bombay Borough - Indian Bar & Eatery",4.6,"Indian, Contemporary","AED 445 for two","Gate Village, DIFC, Dubai","11 km","https://www.zomato.com/dubai/bombay-borough-indian-bar-eatery-difc/info","https://b.zmtcdn.com/data/pictures/3/19307083/aca0764d94cf4bbf4ca1528ffb35b38f_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
12,"Promoted","Flat 15% OFF","Arabeska Elite Restaurant",4.3,"Arabian, International","AED 225 for two","Souk Al Bahar, Downtown Dubai, Dubai","8.8 km","https://www.zomato.com/dubai/arabeska-elite-restaurant-downtown-dubai/info","https://b.zmtcdn.com/data/pictures/6/19976976/02338adb9a2b868dd0f9a0fd25ec1f37_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
13,,"Flat 20% OFF","Kathhiyawadi Thali Restaurant",4.5,"Gujarati, Rajasthani, North Indian, Indian","AED 90 for two","Al Karama, Dubai","15.7 km","https://www.zomato.com/dubai/kathhiyawadi-thali-restaurant-al-karama/info","https://b.zmtcdn.com/data/pictures/6/18667986/a7a5625488966b807de09c07d4ad4523_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
14,,,"Miti Restaurant & Cafe",4.3,"Indian, Indo-Chinese, Street Food, North Indian","AED 160 for two","Al Karama, Dubai","15.3 km","https://www.zomato.com/dubai/miti-restaurant-cafe-al-karama/info","https://b.zmtcdn.com/data/pictures/1/20062291/94439e61ad05294d66c9c9d563cce860_featured_v2.jpg",
15,,"Flat 15% OFF","Bombay Bungalow",4.2,"Indian, North Indian","AED 250 for two","The Beach, Jumeirah Beach Residence, Dubai","11.1 km","https://www.zomato.com/dubai/bombay-bungalow-jumeirah-beach-residence/info","https://b.zmtcdn.com/data/pictures/2/18498302/4f7c2e4ef36cc80d7bacb346b36ba286_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
16,,"Flat 20% OFF","Hitchki Global Indian Restaurant",4.5,"Indian, North Indian, Biryani, Burger, Fast Food, Desserts","AED 220 for two","City Centre Mirdif, Mirdif, Dubai","20.7 km","https://www.zomato.com/dubai/hitchki-global-indian-restaurant-mirdif/info","https://b.zmtcdn.com/data/pictures/4/19437024/30ad7ddc1a667ceb58c0258743159367_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
17,,"Flat 10% OFF","The Desi Firangi",4.7,"Indian, North Indian, Kebab, Grill, Mughlai","AED 125 for two","Al Hudaiba and Around, Dubai","14.2 km","https://www.zomato.com/dubai/the-desi-firangi-al-hudaiba-and-around/info","https://b.zmtcdn.com/data/pictures/5/20863455/751c2ef951b65a28a09620163b059e7f_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
18,,,"Atrangi by Ritu Dalmia",4.3,"Indian","AED 250 for two","Jumeirah Al Qasr, Madinat Jumeirah , Dubai","4.3 km","https://www.zomato.com/dubai/atrangi-by-ritu-dalmia-madinat-jumeirah/info","https://b.zmtcdn.com/data/pictures/5/20662345/5be31df12605b9cd53ab01eb17afbc3c_featured_v2.jpg",
19,,,"Karachi Grill",4.1,"Pakistani, Indian, North Indian, Kebab, Biryani, Grill","AED 150 for two","Jumeirah 2, Dubai","8.8 km","https://www.zomato.com/dubai/karachi-grill-jumeirah-2/info","https://b.zmtcdn.com/data/pictures/1/210001/0762d0689944ef956eea5bb792d11e7e_featured_v2.jpg",
20,,"Flat 10% OFF","Asia Kitchen By Mainland China",4.5,"Asian, Chinese, Sushi","AED 220 for two","BurJuman Centre, Mankhool, Dubai","16 km","https://www.zomato.com/dubai/asia-kitchen-by-mainland-china-mankhool/info","https://b.zmtcdn.com/data/pictures/chains/1/18648901/e9baa043efe56f7639a0fd9b98a69e0c_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
21,,"Flat 25% OFF","Rohini by Little Miss India",4.2,"Indian","AED 180 for two","Mövenpick Hotel Jumeirah Lakes Towers, Dubai","11.3 km","https://www.zomato.com/dubai/rohini-by-little-miss-india-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/2/20893322/a318967cbc120cf8d7dfa93165b929a5_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
22,,,"AB's Absolute Barbecues",4.6,"Indian, BBQ, Kebab","AED 180 for two","Centurion Star Tower, Deira City Centre Area, Dubai","17.4 km","https://www.zomato.com/dubai/abs-absolute-barbecues-deira-city-centre-area/info","https://b.zmtcdn.com/data/pictures/8/18269368/db14dce6222290e38714267f73c5fcc1_featured_v2.jpg",
23,,"Flat 10% OFF","Mist Restaurant",4.1,"Lebanese, International, Shawarma","AED 180 for two","Business Bay, Dubai","7.3 km","https://www.zomato.com/dubai/mist-restaurant-business-bay/info","https://b.zmtcdn.com/data/pictures/5/20248995/9988ab74d98033991a0221be1e3704f2_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
24,,"Flat 20% OFF","The Bhukkad Cafe",3.6,"Indian, Street Food, Beverages","AED 120 for two","Al Karama, Dubai","15.4 km","https://www.zomato.com/dubai/the-bhukkad-cafe-al-karama/info","https://b.zmtcdn.com/data/pictures/7/18600517/21861de1735b72a9923eb2cf506a96e9_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
25,,,"Chipotle Mexican Grill",2.7,"Mexican, Grill, Beverages","AED 100 for two","Jumeirah Beach Residence (JBR), Dubai","11.1 km","https://www.zomato.com/dubai/chipotle-mexican-grill-jumeirah-beach-residence/info","https://b.zmtcdn.com/data/pictures/8/21321188/3bad59df5362fd6ba97b15ce3e1ec93b_featured_v2.jpg",
26,,"Flat 15% OFF","Stories Lounge - Bar & Cafe",4.4,"Indian, Asian, Indo-Chinese, Mediterranean, Continental","AED 120 for two","Meena Bazaar, Dubai","16.5 km","https://www.zomato.com/dubai/stories-lounge-bar-cafe-meena-bazaar/info","https://b.zmtcdn.com/data/pictures/1/21465361/511a07d034220fe8572d46ae1166322c_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
27,,"Flat 20% OFF","Jadaf Lokal - DoubleTree By Hilton Dubai Al Jaddaf",4.4,"Indian","AED 150 for two","DoubleTree by Hilton Dubai, Al Jaddaf, Dubai","14.8 km","https://www.zomato.com/dubai/jadaf-lokal-doubletree-by-hilton-dubai-al-jaddaf-al-jaddaf/info","https://b.zmtcdn.com/data/pictures/7/21351997/62615db66611520ff756875fe4d17903_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
28,,"Flat 15% OFF","Tum Tum Asia",4.4,"Asian, Sushi, Chinese, Indian","AED 175 for two","Oud Metha, Dubai","14.5 km","https://www.zomato.com/dubai/tum-tum-asia-oud-metha/info","https://b.zmtcdn.com/data/pictures/9/18537079/0462e52c485255558aca287b124309fa_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
29,,"Flat 15% OFF","Indikaya",4.3,"Indian, Tapas, Contemporary, Beverages","AED 575 for two","Shangri-La, Trade Centre Area, Dubai","10 km","https://www.zomato.com/dubai/indikaya-trade-centre-area/info","https://b.zmtcdn.com/data/pictures/3/21323803/4fff8416556ea88d501ef8e0d04a649d_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
30,,"Flat 30% OFF","Signature By Sanjeev Kapoor",4.1,"Indian, North Indian, Biryani, Kebab, Mughlai","AED 400 for two","The Canvas Hotel, Mankhool, Dubai","15.3 km","https://www.zomato.com/dubai/signature-by-sanjeev-kapoor-mankhool/info","https://b.zmtcdn.com/data/pictures/7/204727/e96663c84ea43e349171731da7965dd2_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
31,,,"Shamiana - Taj Jumeriah Lake Towers",4.2,"Indian","AED 500 for two","Taj Jumeirah Lakes Towers, Dubai","9.1 km","https://www.zomato.com/dubai/shamiana-taj-jumeriah-lake-towers-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/7/19273187/70ffbf572001e614bc1e7760ffb64dde_featured_v2.jpg",
32,,"Flat 20% OFF","Manbhavan Premium Thali Restaurant","New","Indian, North Indian","AED 110 for two","Al Karama, Dubai","14.8 km","https://www.zomato.com/dubai/manbhavan-premium-thali-restaurant-al-karama/info","https://b.zmtcdn.com/data/pictures/8/21412488/37c83f4957772cd2e880be0b9733e909_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
33,,,"Goa Portuguesa",4.1,"Goan, Indian","AED 115 for two","Al Karama, Dubai","15.2 km","https://www.zomato.com/dubai/goa-portuguesa-al-karama/info","https://b.zmtcdn.com/data/pictures/9/21393329/7e82780650beed14182a53d517c4a5d0_featured_v2.jpg",
34,,"Flat 25% OFF","Al Sultan Restaurant & Grill",4.4,"Arabian, Middle Eastern, Grill","AED 100 for two","Hor Al Anz, Dubai","21.1 km","https://www.zomato.com/dubai/al-sultan-restaurant-grill-hor-al-anz/info","https://b.zmtcdn.com/data/pictures/4/20254494/ebc1b0846362eab2a282dc1e1622db3b_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
35,,"Flat 10% OFF","Atithi Veg Restaurant",4.2,"Indian, North Indian, South Indian","AED 80 for two","Mankhool, Dubai","15.2 km","https://www.zomato.com/dubai/atithi-veg-restaurant-mankhool/info","https://b.zmtcdn.com/data/pictures/4/20765174/31ed34d26c7a7ddf316e97f69e14e0f3_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
36,,"Flat 10% OFF","Kobe Sizzlers",3.8,"Continental","AED 130 for two","Al Karama, Dubai","15.6 km","https://www.zomato.com/dubai/kobe-sizzlers-al-karama/info","https://b.zmtcdn.com/data/pictures/chains/8/202168/089e38e45d7c90d7a3c0d5adc3134ff3_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
37,,"Flat 10% OFF","Junior Kuppanna",4.1,"South Indian, Sri Lankan, Asian","AED 80 for two","Al Karama, Dubai","15.4 km","https://www.zomato.com/dubai/junior-kuppanna-al-karama/info","https://b.zmtcdn.com/data/pictures/2/21236122/ea96a294a5051f53e01128befff3e9e4_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
38,,"Flat 30% OFF","HYP",4.3,"Indian, Asian, Kebab, Grill","AED 310 for two","Al Satwa, Dubai","12.4 km","https://www.zomato.com/dubai/hyp-al-satwa/info","https://b.zmtcdn.com/data/pictures/8/20039958/8f7476b6e29f4ad615ae18774e9e1283_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
39,,"Flat 15% OFF","Pasha Sarayi",4.2,"Turkish, Mediterranean, Steak, Middle Eastern, Arabian","AED 275 for two","Mercato Mall, Jumeirah 1, Dubai","10.2 km","https://www.zomato.com/dubai/pasha-sarayi-jumeirah-1/info","https://b.zmtcdn.com/data/pictures/1/20678331/89625eb5d8c661a7fa37ea3a1712b19e_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
40,,"Flat 15% OFF","Pind Da Dhaba",4,"Indian, North Indian, Kebab, Biryani, Desserts, Beverages","AED 100 for two","Al Karama, Dubai","14.2 km","https://www.zomato.com/dubai/pind-da-dhaba-al-karama/info","https://b.zmtcdn.com/data/pictures/0/205080/bfff0ae1703471eff870f47e4345aed6_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
41,,"Flat 30% OFF","Kitchen6 - JW Marriott Marquis",4.6,"Arabian, Asian, Indian, International, Desserts, Beverages","AED 375 for two","JW Marriott Marquis Dubai, Business Bay, Dubai","7.1 km","https://www.zomato.com/dubai/kitchen6-jw-marriott-marquis-business-bay/info","https://b.zmtcdn.com/data/pictures/0/205230/7d8f0c26f4032db380d0dcd886e177f3_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
